text,sense
"data include candidates, [MASK], popular and electoral vote totals, and voter turnout.",1
"parallel, in 1861 the national association established the german progress [MASK] (""deutsche fortschritsspartei, or dfp"") as a registered [MASK] in prussia, constituting the society's ""executive branch"".",2
"contigo, formerly peruvians for change (, ppk), is a centre-right [MASK] in peru.",2
"after rogas realizes that cres lives in the complex under a pseudonym and wasn't there to commit a murder, he meets with the secretary-general of the revolutionary [MASK].",2
"he participated in the formation of the islamic virtue [MASK] in wasit., and included in the political work and assigned several tasks, including the head of the office of ""essaouira"", and became an assistant to the secretary-general for the affairs of central provinces, and is now a member of the political bureau of the [MASK].",1
"finland has a multi-[MASK] system, with multiple strong [MASK], in which no one [MASK] often has a chance of gaining power alone, and [MASK] must work with each other to form coalition governments.",2
"the internationalist workers [MASK] (parti ouvrier internationaliste, poi) was a french trotskyist [MASK] established in 1936 after the exclusion of militant trotskyists from the french section of the workers' international in 1935 and dissolved in 1939 when most of the militants had rejoined the workers and peasants' socialist [MASK].",2
"no [MASK] won a majority, but the labour [MASK] of prime minister helen clark secured two more seats than nearest rival, the national [MASK] of dr don brash.",2
"produced at the london-based animation company lupus films, with many of the original team returning, the sequel was made in the same traditional techniques as the first film, and features the snowman, a new little boy and a snow dog, flying over landmarks and going to another [MASK].",1
"ukraine has a multi-[MASK] system, with numerous [MASK] in which often not a single [MASK] has a chance of gaining power alone, and [MASK] must work with each other to form coalition governments.",2
the court is required to analyse the pleadings prepared by the [MASK] and to assign each component element to the most appropriate juridical concept or category.,3
"this also applies to a political convention, though in modern times the common issues are limited to selecting a [MASK] candidate or [MASK] chairman.",1
"it is considered by many to be a concept album, with several recurring themes such as near-death experiences, [MASK] and the fictional character charlemagne.",1
mackinlay decided that the only way to keep the [MASK] going was to rework its constitution and hold a leadership election.,2
"it is limited to liberal and radical [MASK] with substantial support, mainly proved by having been represented in parliament.",2
"it also discussed criminal gangs who enjoyed the patronage of politicians, of all [MASK], and the protection of government functionaries.",2
"unlike most states, new york electoral law permits electoral fusion; thus new york ballots tend to show a larger number of [MASK].",2
"it is limited to christian democratic [MASK] with substantial support, mainly proved by having had a representation in parliament.",2
"before the local elections are held, a previous unofficial election takes place in which individual citizens, not [MASK], are voted.",2
"solomon islands has a multi-[MASK] system, with numerous [MASK] in which no one [MASK] often has a chance of gaining power alone.",2
"it is limited to liberal and radical [MASK] with substantial support, mainly proved by having had representation in parliament.",2
judicial and legal activities of the fndirp include participation as a civil [MASK] in trials for crimes against humanity.,3
"edward moseley was also speaker of the north carolina house of burgesses (the lower house of the legislature) for several terms, as he was consistently re-elected by his [MASK].",2
tina wants to have a [MASK] with a smoke machine and streamers and invite people from her class and more.,1
"the german social democratic workers' [MASK] in the czechoslovak republic (dsap, ""deutsche sozialdemokratische arbeiterpartei in der tschechoslowakischen republik""; ) was a german social democratic [MASK] in czechoslovakia, founded when the bohemian provincial organization of the social democratic workers' [MASK] of austria separated itself from the mother [MASK].",2
40 were elected from multi-name lists of [MASK] or [MASK] coalitions according to their ranking.,2
"bubb regularly hosted [MASK] in cocoa beach, both planned in advance and more spontaneously when launch delays kept reporters, astronauts, space program leaders, and corporate executives in town for longer than expected.",1
members elected to county government positions are required to declare [MASK] affiliations and to be residents of the county.,2
"a moderate-to-liberal democrat, backus ran for the u.s. senate in 1994 and beat douglas m. costle, environmental protection agency administrator under president jimmy carter, for her [MASK]'s nomination and came within 9 points of ousting incumbent u.s. senator jim jeffords (r-vt).",2
"the source (as it became known) flourished alongside the musical genre of goa trance and its successor psychedelic trance running monthly club nights or '[MASK]' at the rocket in north london's holloway road, brixton's fridge, bagley's in kings cross and a number of larger events at brixton academy...",1
"in the past, this has included bands, comedians, games, and [MASK].",1
"it is limited to liberal [MASK] with substantial support, mainly proved by having had representation in parliament.",2
small tiled pavilions were erected at intervals along the sides to afford shade for fishing and picnic [MASK].,1
"romania has a multi-[MASK] system, with numerous [MASK] in which no one [MASK] often has a chance of gaining power alone, and [MASK] must work with each other to form coalition governments.",2
"in law, a trial is a coming together of [MASK] to a dispute, to present information (in the form of evidence) in a tribunal, a formal setting with the authority to adjudicate claims or disputes.",3
"opposition [MASK] are allowed since the 1992 referendum, but have been represented in parliament only since the 2013 elections.",2
"with known village political trend, bdp council candidates fiercely contested their [MASK] primary elections with the knowledge that a win guaranteed individuals seats at the council chambers.",2
"the lack of central leadership within the meclis-i vükela frequently allowed for individual and [MASK] politics to predominate in its work, often making it difficult to conduct business.",2
"the multiple choice format is most frequently used in educational testing, in market research, and in elections, when a person chooses between multiple candidates, [MASK], or policies.",2
dispute resolution is the process of resolving disputes between [MASK].,3
"the red–green coalition was a centre-left coalition of [MASK] in norway, constituting the labour [MASK] (ap), the socialist left [MASK] (sv), and the centre [MASK] (sp).",2
"albania has a multi-[MASK] system, with two or three strong [MASK] and several other [MASK] that are electorally successful.",2
aceee staff testify before congress and work closely with congressional staff in both [MASK] to help shape new initiatives and analyze the impacts of energy and climate policy proposals.,2
"it is limited to liberal [MASK] with substantial support, mainly proved by having been represented in the norwegian parliament, stortinget.",2
"notice is the legal concept describing a requirement that a [MASK] be aware of legal process affecting their rights, obligations or duties.",3
"employment is a relationship between two [MASK], usually based on a contract where work is paid for, where one [MASK], which may be a corporation, for profit, not-for-profit organization, co-operative or other entity is the employer and the other is the employee.",3
the czech political scene supports a broad spectrum of [MASK] ranging from the communist [MASK] on the far left to various nationalistic [MASK] on the far right.,2
the court was held at least every two weeks and often every week; the [MASK] before the court stated the case and the judges rendered a decision based on the facts or arbitrators were appointed to review the case and proposed a compromise between the [MASK].,3
mandates were divided among [MASK] and coalitions in proportion to the number of their benches in serbia's and montenegro's parliaments.,2
a paper popper is a [MASK] prank that is commonly practiced in public schools.,1
the beast's path soon brings it to a huge [MASK] attended by jack and squirrelly.,1
"in environmental law, the polluter pays principle is enacted to make the [MASK] responsible for producing pollution responsible for paying for the damage done to the natural environment.",3
"currently, the [MASK] breakdown on the council is as follows:",2
"as such, [MASK] must work with one another to form coalition governments.",2
"if the lawyer filling out the case information statement makes a mistake, or if circumstances change or new information is discovered, the [MASK] wishing to amend the statement may do so by making a motion to the judge in charge of the case.",3
"in the united states, [MASK] may seek review or enforcement of a federal agency order by filing a petition for review in any u.s. court of appeals having jurisdiction.",3
"the office of the clerk is a politically independent organisation, providing services to parliament, as distinct from services to the government, and providing services to members in their parliamentary roles rather than in their [MASK] or electorate capacities.",2
"wild boy’ where stage diving, bonfires, steve-o references and [MASK]ing ensues.",1
"in a civil lawsuit, a nominal [MASK] is one named as a [MASK] on the record of an action, but having no interest in the action.",3
"sune also holds his first [MASK], with ""loud"" music, ""cute"" girls, dancing and playing post office.",1
"it has been active in state politics since the 1970s, but due to what critics characterize as oklahoma's restrictive ballot access requirements the [MASK] has been an ""official"" [MASK] during only portions of the last 25 years.",2
"from 2002 to 2007 he was the chairman of the bavarian separatist [MASK], bavaria [MASK].",2
"punch is usually served at [MASK] in large, wide bowls, known as ""punch bowls"".",1
"to obtain the ""three theories"", a [MASK] (the can lao) promoting the ideology, a true social justice and the technological modernization are necessary.",1
"the faroe islands have a multi-[MASK] system (disputing on independence and unionism as well as left and right), with numerous [MASK] in which a single [MASK] normally does not have a chance of gaining power alone, and therefore the [MASK] must work together in order to form a coalition government.",2
"bolivia has a multi-[MASK] system, with numerous [MASK].",2
"because elections in tucson are partisan in nature, [MASK] primaries were held on august 30, 2011.",2
"heritage (, ""zharangut’yun"") is an armenian national liberal [MASK].",2
"as in other parts of the malaysian federation, the westminster parliamentary system is adopted, whereby, the leader of the [MASK] with the most seats in the state legislature would usually become the chief minister of sabah.",2
it began as an upper-class reformist movement during the 1870s and formed as a political [MASK] in 1894.,1
"some look-alikes who have resembled celebrities have worked as entertainers, impersonating them on stage and screen, or at venues like [MASK] and corporate functions.",1
"prior to his election to congress, cook ran for office a number of times both as a republican and on the utah independent ticket, a [MASK] he founded himself in 1988.",2
"in 2003 the [MASK] merged with the samoan united independents political [MASK] to form the samoan democratic united [MASK], which replaced it as the main opposition [MASK] of samoa.",2
"north macedonia has a multi-[MASK] system, with numerous [MASK] in which no one [MASK] often has a chance of gaining power alone, and [MASK] must work with each other to form coalition governments.",2
"one newspaper reporter, writing about low voter turnout in 1998, suggested there was a ""deep-rooted resistance within both [MASK] to expanding the national electorate,"" and quoted ginsberg as saying ""politicians who have risen to power in a low-turnout political environment have little to gain and much to fear from an expanded electorate.",2
"it is limited to liberal and radical [MASK] with substantial support, mainly proved by having had a representation in parliament.",2
"section 1782 of title 28 of the united states code is a federal statute that allows a litigant ([MASK]) to a legal proceeding ""outside"" the united states to apply to an american court to obtain evidence for use in the non-us proceeding.",3
"somaliland has a multi-[MASK] system, with numerous [MASK] in which no one [MASK] often has a chance of gaining power alone, and [MASK] must work with each other to form coalition governments.",2
"after dropping shelly off at cartman's home, the marshes and stan are off to a [MASK] at the home of mr. mackey.",1
"a third-[MASK] beneficiary, in the law of contracts, is a person who may have the right to sue on a contract, despite not having originally been an active [MASK] to the contract.",3
"one of the scenes in the [MASK] sequence required more than 500 empty liquor bottles and gujarat, where the principal shooting took place, has alcohol prohibition, so the art director taj naqvi and his team started scouting for it 8 days prior to the schedule. 'ravi vaari bajaar' to posh hotels, residence to open grounds they collected these bottles and on the day of the shoot managed to get 731 empty liquor bottles.",1
"for example, a court has the right to punish actions or omissions of a [MASK] in a child support case as if they were a criminal, penalizing the parent with a sentence of jail time.",3
a christmas [MASK] was held every year as well as two to three other [MASK] throughout the year.,1
"an oscar [MASK] is any of the several [MASK], usually held by entertainment-media corporations, immediately following the broadcast of the academy awards ceremony.",1
"elman defended both himself and justice frankfurter by stating that these discussions took place before the united states became a [MASK] to the case, and even then, the united states was not an adversary [MASK] but rather an ""amicus curiae"".",3
"on november 6, 1860, lincoln was elected as the 16th president of the united states, a republican, and the first to be elected from that [MASK].",2
"today, wedding ceremonies, wedding receptions, [MASK], corporate meetings, and other events are held at bolingbroke mansion.",1
"examples include ""eset"" (""case""), ""falat"" (""a bit of food""), ""hét"" (""week""), ""kabát"" (""coat""), ""kert"" (""garden""), ""kötet"" (""volume"" [of books]), ""lakat"" (""padlock""), ""lapát"" (""shovel""), ""part"" (""shore"", ""bank"", ""coast""), ""párt"" (""[MASK]""), ""sajt"" (""cheese"") etc.",2
the legal burden of proof () is the obligation of a [MASK] in a trial to produce the evidence that will prove the claims they have made against the other [MASK].,3
"although he came to power with the help of the old liberal general urbina, veintemilla later evolved into a populist military dictator rather than a politician with any [MASK] or ideological affiliation.",2
"""akabar en tnezzarfut ed tneflit"", knn; , pjd) is the [MASK] that has led the executive branch of the government of morocco since 29 november 2011.",2
"early in his career, his professional areas of interest lay in the simulation of strategies in collective action dilemmas, simulation of [MASK] behavior in proportional voting systems, and the use of surveys in public administration.",2
"reunion has a multi-[MASK] system, with numerous [MASK] in which no one [MASK] often has a chance of gaining power alone, and [MASK] must work with each other to form coalition governments.",2
a [MASK] is a social gathering.,1
"large annual spring break festivities take place in various countries, often in the form of music festivals and joined by special nightclub [MASK], beach activities and accommodation offers.",1
the majority and minority leaders of the house of representatives of puerto rico are two puerto rican representatives who are elected by the [MASK] conferences that hold the majority and the minority respectively.,2
"various spokesmen for both the democratic and republican [MASK] were on hand to explain the positions, and claimed relative merits of, their respective groups.",2
it includes a brief history of liberal [MASK] with substantial representation in parliament.,2
"the liberal democrat councillors involved lost their seats at the 2006 elections, their [MASK] also lost control of the council.",2
"since 1959, the four largest [MASK] have formed a coalition government, according to a """" or ""magic formula"".",2
"the clerk has significant responsibility for arranging hearings of the court, handling documents from litigants, and preparing copies for any [MASK] to the case.",3
"the song's lyrics center around a [MASK] and having fun, once referencing to leading a double life with",1
"algeriawesh alors has a multi-[MASK] system, with numerous [MASK] in which no one [MASK] often has a chance of gaining power alone, and [MASK] must work with each other to form coalition governments.   ",2
a coalition government is a cabinet of a parliamentary government in which several [MASK] cooperate.,2
"it is limited to liberal and radical egalitarian [MASK] with substantial support, mainly proved by having had a representation in the parliament.",2
supreme court judicial candidates may run on [MASK] tickets.,2
she represents the telugu desam [MASK].,2
"drinking establishments, such as bars and nightclubs, revolve primarily around the sale and consumption of alcoholic beverages, and [MASK], festivals, and social gatherings commonly feature alcohol consumption as well.",1
