text,sense
"a naked [MASK], also known as nude [MASK], is a [MASK] where the participants are required to be nude.",1
"the town center bears the hallmarks of a typical migration-accepting turkish rural town, with traditional structures coexisting with a collection of concrete apartment blocks providing public housing, as well as amenities such as basic shopping and fast-food restaurants, and essential infrastructure but little in the way of culture except for cinemas and large rooms hired out for wedding [MASK].",1
"elections alberta oversees the creation of political [MASK] and riding associations, compiles election statistics on ridings, and collects financial statements from [MASK] candidates and riding associations.",2
a group of characters can join together to form a [MASK] and go on levels together.,1
"from these social conventions derive in turn also the variants worn on related occasions of varying solemnity, such as formal political, diplomatic, and academic events, in addition to certain [MASK] including award ceremonies, balls, fraternal orders, high school proms, etc.",1
"(, ""al-harakat al-wataniyya al-lubnaniyya"") or mouvement national libanais (mnl) in french, was a front of leftist, pan-arabist and syrian nationalist [MASK] and organizations active during the early years of the lebanese civil war, which supported the palestine liberation organization (plo).",2
"the free-minded people's [MASK] () or radical people's [MASK] was a social liberal [MASK] in the german empire, founded as a result of the split of the german free-minded [MASK] in 1893.",2
"typically, a [MASK] has the right to object in court to a line of questioning or at the introduction of a particular piece of evidence.",3
"dizzy bat is commonly played at [MASK], colleges and universities, bars, and other drinking festivities such as a tailgate [MASK] at sporting events and concerts.",1
"he represents venstre, a danish centre-right [MASK].",2
—not just for tassel teasing but good for a [MASK] and flicking the feather duster around the house.,1
"[MASK] of peace and unity (партия мира и единства, ""partiya mira i yedinstva"") was a socialist [MASK] in russia.",2
"the second scene finds stryder at the luxurious mgm grand las vegas hotel, where he is first seen in the hotel casino gambling, then dawn has approached and he proceeds to his suite at the hotel, where there is a hotel [MASK], and is accompanied by a group of females and cameo appearances from a few ruff sqwad members and the production trio tms are made.",1
"in 2009, a mass rally by a coalition of opposition [MASK] in took place in georgia against the government of president mikheil saakashvili.",2
"the malian [MASK] of labour (french: ""parti malien du travail"", pmt) is a marxist-leninist [MASK] in mali and a member of the coalition supporting the alliance for democracy in mali of president amadou toumani touré.",2
"a costume [MASK] (american english) or a fancy dress [MASK] (british english) is a type of [MASK], common mainly in contemporary western culture, where guests dress up in costumes.",1
"two weeks after the disaster, yitzhak peretz, a government minister from the shas [MASK], linked the train accident to sabbath violation in petach tikva and invalid mezuzot at the school.",2
"in politics, the circumstances may include an attempt to bring down a powerful leader, usually by members of their own [MASK].",2
"(""jabha-ye tafahom-e melli-ye afghanistan"") was an alliance of opposition [MASK] in afghanistan.",2
